system,code,display_in_ig,official_display,status,verified_on,verified_via,source_version,method,note,files
ICD11,5B50,"Underweight in infants, children or adolescents","Underweight in infants, children or adolescents",active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B54,Underweight in adults,Underweight in adults,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/conceptmaps/ConceptMapICD10ToICD11.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B71,Protein deficiency,Protein deficiency,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/conceptmaps/ConceptMapICD10ToICD11.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B7Z,Unspecified undernutrition,Unspecified undernutrition,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B80,Overweight or localised adiposity,Overweight or localised adiposity,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B80.0,Overweight,Overweight,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/conceptmaps/ConceptMapICD10ToICD11.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B80.0Z,"Overweight, unspecified","Overweight, unspecified",active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B81,Obesity,Obesity,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B81.0,Obesity due to energy imbalance,Obesity due to energy imbalance,active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/conceptmaps/ConceptMapICD10ToICD11.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
ICD11,5B81.Z,"Obesity, unspecified","Obesity, unspecified",active,2026-09-15,icd.who.int MMS linearization export;tx.fhir.org,WHO linearization 2026 Mar 20 - 14:07 UTC;tx ICD11 2026-01,owner-file;txfhir,,input/fsh/codesystems/ICD11LifestyleCodeSystem.fsh;input/fsh/conceptmaps/ConceptMapICD10ToICD11.fsh;input/fsh/valuesets/ValueSetICD11Lifestyle.fsh
