URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/fhir/CodeSystem/audit-formats,0.1.0,active,,AuditFormatsCodeSystem,Audit Formats Code System,"Code system for audit format types","ValueSet/audit-formats"
http://example.org/fhir/CodeSystem/audit-levels,0.1.0,active,,AuditLevelsCodeSystem,Audit Levels Code System,"Code system for audit level types","ValueSet/audit-levels"
http://example.org/fhir/CodeSystem/balance-status,0.1.0,active,,BalanceStatusCodeSystem,Balance Status Code System,"Code system for balance status types","ValueSet/balance-status"
http://example.org/fhir/CodeSystem/cervical-mucus-cs,0.1.0,active,,CervicalMucusCodeSystem,Cervical Mucus Code System,"","ValueSet/cervical-mucus-valueset"
http://example.org/fhir/CodeSystem/fertility-status-cs,0.1.0,active,,FertilityStatusCodeSystem,Fertility Status Code System,"","ValueSet/fertility-status-valueset"
http://example.org/fhir/CodeSystem/ovulation-test-cs,0.1.0,active,,OvulationTestCodeSystem,Ovulation Test Code System,"","ValueSet/ovulation-test-valueset"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/reproductive-goal-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/mindfulness-qualifier-vs,ValueSet/measurement-device-type-vs,ValueSet/measurement-context-vs,ValueSet/body-locations-vs,ValueSet/reproductive-goal-vs,ValueSet/physical-activity-type-vs,ValueSet/mindfulness-outcome-vs,ValueSet/symptom-progression-vs,ValueSet/sleep-quality-vs,ConceptMap/MindfulnessDiagnosticMap,ValueSet/time-of-day-vs,ValueSet/measurement-context-vital-signs,ValueSet/measurement-conditions-vs,ValueSet/sleep-quality-extended-vs"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/duration-units-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/advanced-vital-signs-context-cs,0.1.0,draft,,AdvancedVitalSignsContextCS,Advanced Vital Signs Context Code System,"Codes for advanced vital signs measurement context","ValueSet/advanced-vital-signs-context-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/circadian-phase-cs,0.1.0,draft,,CircadianPhaseCS,Circadian Phase Code System,"Code system for circadian rhythm phases","ValueSet/circadian-phase-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/environment-type-cs,0.1.0,draft,,EnvironmentTypeCS,Practice Environment Types,"Types of environments for mindfulness practice","ValueSet/environment-type-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/exposure-conditions-cs,0.1.0,draft,,ExposureConditionsCS,Exposure Conditions Code System,"Code system for conditions during environmental exposure","ValueSet/exposure-conditions-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/exposure-location-cs,0.1.0,draft,,ExposureLocationCS,Exposure Location Code System,"Code system for environmental exposure locations","ValueSet/exposure-location-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/measurement-quality-cs,0.1.0,draft,,MeasurementQualityCS,Measurement Quality Code System,"Code system for measurement quality indicators","ValueSet/measurement-quality-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/mindfulness-outcome-cs,0.1.0,draft,,MindfulnessOutcomeCS,Mindfulness Outcomes,"Outcomes and effects of mindfulness practice","ValueSet/mindfulness-outcome-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/mindfulness-qualifier-cs,0.1.0,draft,,MindfulnessQualifierCS,Mindfulness Practice Qualifiers,"Qualifiers for mindfulness practice characteristics","ValueSet/mindfulness-qualifier-vs"
https://github.com/RicardoLSantos/shorthand/CodeSystem/mindfulness-type-cs,0.1.0,draft,,MindfulnessTypeCS,Mindfulness Practice Types,"Types of mindfulness practices and techniques","ValueSet/mindfulness-type-vs"
