URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/jurisdiction,4.0.1,active,"2.16.840.1.113883.4.642.3.48",Jurisdiction ValueSet,Jurisdiction,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/jurisdiction-applicability","hl7.terminology.r4,Other"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/activity-quality-extended-vs,0.1.0,active,,SleepQualityExtendedVS,Sleep Quality Value Set,"Extended value set for activity quality assessment","StructureDefinition/activity-quality","SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/activity-quality-vs,0.1.0,active,,SleepQualityVS,Sleep Quality Value Set,"Qualitative assessments of activity quality including subjective measures",,"SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/advanced-vital-signs-context-vs,0.1.0,active,,AdvancedVitalSignsContextVS,Advanced Vital Signs Context Value Set,"Context codes for advanced vital sign measurements","StructureDefinition/advanced-vital-signs-context","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/assistance-level-outcomes,0.1.0,active,,AssistanceLevelOutcomesValueSet,Assistance Level Outcomes Value Set,"Value set for assistance level assessment outcomes","StructureDefinition/mobility-risk-assessment","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/audit-formats,0.1.0,active,,AuditFormatsValueSet,Audit Formats Value Set,"Value set for audit format types","StructureDefinition/audit-format,StructureDefinition/mindfulness-audit-format","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/audit-levels,0.1.0,active,,AuditLevelsValueSet,Audit Levels Value Set,"Value set for audit level types","StructureDefinition/mindfulness-audit-level,StructureDefinition/audit-level","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/balance-status,0.1.0,active,,BalanceStatusValueSet,Balance Status Value Set,"Value set for walking steadiness balance status","StructureDefinition/walking-steadiness-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/body-locations-vs,0.1.0,active,,BodyLocationsVS,Body Locations Value Set,"Anatomical locations for symptom recording",,"SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/cervical-mucus-vs,0.1.0,active,,CervicalMucusValueSet,Cervical Mucus Value Set,"Value set for cervical mucus observations","StructureDefinition/fertility-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/circadian-phase-vs,0.1.0,active,,CircadianPhaseVS,Circadian Phase Value Set,"Value set for circadian rhythm phases","StructureDefinition/circadian-phase","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/duration-units-vs,0.1.0,active,,DurationUnitsVS,Duration Units Value Set,"Time units for symptom duration","StructureDefinition/social-history-observation","UCUM"
